nro_ticket,fecha,codigo_empleado,codigo_escuela
0,2024-07-22,82,4
1,2024-07-17,39,2
2,2024-11-26,79,5
3,2024-06-01,79,5
4,2024-07-14,77,1
5,2025-05-13,56,5
6,2025-01-25,51,3
7,2024-12-14,78,2
8,2024-06-24,67,2
9,2024-11-28,98,5
10,2024-11-11,57,2
11,2024-12-15,29,1
12,2024-10-02,61,3
13,2025-01-04,30,5
14,2024-12-26,90,3
15,2024-11-21,58,2
16,2024-07-09,77,2
17,2025-01-21,89,3
18,2024-07-26,88,3
19,2025-05-07,49,5
20,2024-06-20,44,2
21,2025-03-02,94,3
22,2025-04-11,36,1
23,2025-04-03,7,5
24,2025-02-15,63,1
25,2025-05-03,39,2
26,2025-03-15,17,2
27,2025-03-23,72,5
28,2024-11-30,42,5
29,2025-01-29,93,2
30,2025-04-14,41,2
31,2025-05-21,4,3
32,2024-12-16,21,3
33,2025-03-21,4,2
34,2025-03-01,94,2
35,2024-08-03,80,4
36,2024-11-14,84,5
37,2024-09-24,63,2
38,2024-11-01,83,2
39,2025-03-01,13,2
40,2024-09-07,8,2
41,2025-05-08,25,4
42,2025-03-16,64,3
43,2024-07-29,35,1
44,2024-10-18,79,3
45,2024-12-16,71,4
46,2025-03-14,100,1
47,2024-08-01,5,2
48,2025-02-20,98,1
49,2024-11-03,21,5
50,2025-02-01,42,4
51,2025-01-13,6,2
52,2024-08-18,4,4
53,2024-10-23,30,1
54,2025-02-02,83,4
55,2025-04-02,10,4
56,2025-04-15,64,3
57,2025-04-20,16,4
58,2024-06-01,67,1
59,2024-09-12,13,5
60,2024-07-10,61,3
61,2024-12-16,81,4
62,2024-07-23,36,3
63,2025-04-23,85,3
64,2025-03-30,57,1
65,2025-01-30,12,1
66,2025-03-25,67,5
67,2024-09-16,27,3
68,2024-11-15,61,5
69,2024-11-06,15,3
70,2025-04-13,58,2
71,2024-07-29,8,1
72,2025-04-07,11,2
73,2025-01-05,65,3
74,2025-05-14,60,1
75,2025-01-10,72,1
76,2024-09-05,69,4
77,2025-04-07,19,2
78,2025-02-02,51,3
79,2025-01-04,97,2
80,2024-07-26,20,2
81,2025-05-14,46,4
82,2025-03-03,96,4
83,2024-09-08,9,4
84,2024-12-11,44,1
85,2024-06-26,6,1
86,2025-05-13,86,1
87,2024-08-17,14,5
88,2025-02-23,53,5
89,2024-09-26,73,1
90,2024-11-08,29,4
91,2024-12-02,97,3
92,2024-11-18,69,2
93,2025-04-28,53,2
94,2025-01-27,65,2
95,2024-12-29,66,3
96,2024-07-04,26,2
97,2024-12-04,34,3
98,2025-04-08,16,4
99,2024-09-01,20,5
