nro_ticket,codigo_tipo_visita,cantidad_alumnos_reales,arancel_por_alumno,codigo_empleado
0,12,9,31680.31,28
1,18,1,6108.75,12
2,12,1,18668.9,2
3,17,6,47723.48,1
4,9,1,41527.26,3
5,3,2,29381.57,48
6,16,7,43597.0,29
7,5,1,14738.03,20
8,14,9,26880.23,22
9,7,9,25206.38,50
10,18,7,14553.3,38
11,18,2,18625.45,36
12,13,1,26834.51,18
13,10,5,32964.62,44
14,8,2,18520.11,10
15,1,5,43485.15,3
16,17,2,38960.85,46
17,8,6,13190.61,33
18,3,5,40919.96,19
19,1,4,18011.83,26
20,4,2,14135.71,6
21,10,4,42828.66,13
22,11,4,23964.39,17
23,6,1,18949.97,18
24,13,3,15803.51,18
25,13,3,29337.82,37
26,1,2,36564.54,45
27,2,7,25973.69,40
28,7,3,41389.06,37
29,15,9,24674.6,4
30,11,7,45809.08,10
31,8,5,20677.77,24
32,15,8,12965.89,4
33,16,7,26951.1,14
34,8,5,11538.06,22
35,17,10,29798.13,2
36,6,5,33256.75,43
37,1,3,44167.08,18
38,16,9,44306.6,12
39,0,6,34633.9,23
40,12,1,16066.92,2
41,9,10,39600.6,44
42,18,5,31353.64,35
43,4,5,29568.48,24
44,2,9,19365.45,7
45,0,9,34905.54,27
46,17,8,47840.35,43
47,18,6,41433.34,39
48,2,2,41230.49,26
49,4,10,36902.97,1
50,17,10,19248.54,18
51,11,3,49025.68,49
52,14,4,17124.7,15
53,1,3,35281.4,15
54,1,8,47278.15,5
55,12,5,27743.51,40
56,11,3,48860.52,36
57,9,7,47571.27,6
58,14,4,8768.86,45
59,1,10,49632.0,1
60,5,10,24777.59,47
61,1,1,48037.17,9
62,2,1,39642.63,48
63,10,4,16469.9,42
64,9,2,26971.06,11
65,5,6,49653.85,38
66,14,6,12401.49,20
67,15,4,12034.31,48
68,6,10,36085.93,42
69,14,5,14841.24,13
70,12,2,16725.45,22
71,3,1,8814.03,40
72,13,10,16234.25,12
73,17,6,44520.9,6
74,3,9,35462.32,3
75,15,1,38271.62,9
76,4,8,38714.0,9
77,6,7,36604.13,24
78,18,10,22786.56,3
79,18,10,4075.43,47
80,8,2,13978.45,46
81,15,4,9797.16,40
82,16,7,19794.07,17
83,10,9,9524.04,32
84,17,1,12570.56,46
85,13,7,38601.38,29
86,15,8,21782.81,31
87,4,10,2186.3,35
88,6,7,16834.65,26
89,17,6,7375.43,17
90,7,3,15330.72,39
91,4,9,32286.25,18
92,17,9,44660.86,17
93,3,9,15832.01,23
94,16,5,40489.84,23
95,18,4,12230.52,14
96,13,3,24747.4,50
97,5,7,3949.14,6
98,8,6,20593.96,14
99,6,2,3767.11,16
