id_subcategoria,id_categoria,descripcion
8973,4749,Ideal para eventos
208,679,Edición limitada
8135,5982,Duradero y confiable
9887,6889,Presentación económica
4696,7072,Edición limitada
3568,4214,Ideal para eventos
5875,5335,Ideal para eventos
199,138,Ideal para eventos
2654,9811,Presentación económica
3386,9156,Producto de alta calidad
5203,242,Ideal para eventos
9510,4091,Presentación económica
2319,3476,Ideal para eventos
7903,8982,Presentación económica
4441,4140,Presentación económica
8482,1049,Presentación económica
8203,1220,Producto de alta calidad
2290,3421,Edición limitada
5740,7220,Producto de alta calidad
6917,9716,Duradero y confiable
4889,2674,Ideal para eventos
47,3076,Ideal para eventos
2200,504,Edición limitada
8473,2694,Edición limitada
4031,3401,Presentación económica
7754,27,Edición limitada
3064,5850,Presentación económica
6630,4080,Ideal para eventos
9467,1212,Duradero y confiable
89,8271,Ideal para eventos
9045,7857,Producto de alta calidad
4746,1642,Edición limitada
6859,7174,Duradero y confiable
2626,9832,Edición limitada
1190,1647,Edición limitada
4857,7288,Duradero y confiable
3701,2265,Duradero y confiable
4713,5338,Presentación económica
3002,8948,Presentación económica
2800,6023,Producto de alta calidad
5197,879,Producto de alta calidad
8084,5517,Edición limitada
2472,7611,Ideal para eventos
3092,8060,Producto de alta calidad
8724,8767,Producto de alta calidad
607,278,Edición limitada
5235,5705,Presentación económica
7197,7898,Duradero y confiable
5782,7663,Presentación económica
229,8951,Producto de alta calidad
8538,9112,Ideal para eventos
3264,67,Presentación económica
2299,7139,Edición limitada
2384,8172,Duradero y confiable
4284,4233,Ideal para eventos
3696,8518,Presentación económica
5985,5315,Ideal para eventos
9204,623,Ideal para eventos
4069,3727,Producto de alta calidad
1087,5103,Ideal para eventos
9850,7025,Presentación económica
5055,7925,Ideal para eventos
7123,4453,Ideal para eventos
2892,3672,Duradero y confiable
7252,1258,Edición limitada
9949,1315,Producto de alta calidad
7479,4759,Producto de alta calidad
1335,2762,Ideal para eventos
3826,4764,Duradero y confiable
3265,7168,Producto de alta calidad
9362,7351,Edición limitada
2741,8664,Duradero y confiable
703,3058,Producto de alta calidad
2919,2549,Producto de alta calidad
1808,1698,Edición limitada
1890,6469,Edición limitada
870,1764,Duradero y confiable
8890,3271,Ideal para eventos
8879,7356,Presentación económica
6090,1024,Edición limitada
3317,5862,Edición limitada
1736,1321,Duradero y confiable
4906,323,Ideal para eventos
599,4817,Ideal para eventos
9838,3357,Ideal para eventos
8964,2396,Presentación económica
7539,7047,Edición limitada
7043,1582,Edición limitada
9641,7964,Duradero y confiable
3598,8822,Edición limitada
7733,5728,Producto de alta calidad
4615,106,Edición limitada
7272,7875,Presentación económica
7774,2575,Presentación económica
6547,4328,Presentación económica
5688,4104,Ideal para eventos
9012,4616,Producto de alta calidad
232,4060,Edición limitada
7435,6507,Duradero y confiable
512,6089,Producto de alta calidad
