cod_prod,cod_subcat,desc,precio_actual
72,11,nemo,25980.48
1,47,minima,49649.64
94,18,perspici,34558.81
43,58,officiis,37691.64
73,18,praesent,36827.66
8,66,consecte,46372.1
73,83,exceptur,48409.92
48,26,laudanti,13268.28
91,52,esse,9950.87
31,86,suscipit,2701.19
46,94,assumend,25113.27
12,84,sint,23805.98
53,44,architec,42867.2
25,95,iste,15662.22
3,18,autem,22806.29
34,63,veniam,22978.87
41,77,impedit,7437.88
85,46,aspernat,18075.2
39,91,consecte,8960.98
47,41,sequi,23972.47
25,25,harum,3091.02
48,64,rerum,29965.0
34,32,corporis,23472.07
79,92,laborum,49359.67
53,17,nam,32354.86
59,55,sed,37232.14
22,69,esse,38005.33
11,24,rem,27352.94
58,10,suscipit,25473.49
18,92,praesent,31849.56
63,30,ipsa,15882.76
27,70,ab,38090.2
28,64,velit,34795.64
70,64,eos,20193.34
55,13,ad,46623.74
77,91,harum,1627.98
6,65,qui,9404.1
89,58,in,32341.87
15,22,unde,17849.65
23,77,deserunt,31521.79
93,7,dolore,47266.47
57,98,fugiat,15386.16
76,56,veniam,41612.46
72,20,aut,20275.84
19,74,mollitia,13181.29
17,78,nisi,24194.38
62,36,cumque,33137.51
85,85,ex,5436.64
19,74,voluptat,31086.55
11,11,sint,6437.86
68,59,animi,46018.03
6,33,ipsum,35620.89
30,24,neque,25890.47
64,15,debitis,13178.59
91,29,explicab,22681.72
97,89,dolorem,27556.75
99,67,ducimus,27831.03
40,70,at,38871.17
10,79,quia,23863.4
89,51,ea,19441.86
72,33,error,7545.63
87,5,quibusda,12968.17
79,19,perspici,43941.06
44,5,nobis,2232.13
49,86,ab,42743.15
29,47,dolores,16995.84
52,7,providen,19511.1
92,21,expedita,7686.37
81,18,modi,35372.73
10,98,occaecat,34440.46
44,33,molestia,40956.57
8,36,delectus,39922.2
21,27,impedit,40591.4
68,87,quos,26668.73
89,44,ducimus,25048.78
60,81,officiis,37745.17
2,14,sapiente,35167.55
35,27,quia,27801.9
19,22,molestia,25118.85
60,58,distinct,45863.46
94,64,occaecat,47088.42
52,82,amet,49500.19
8,62,debitis,25062.85
81,84,aut,49957.01
77,4,nulla,35076.21
84,29,exercita,32964.91
53,62,porro,44241.05
42,40,fugit,30889.85
19,54,aliquid,26490.5
21,72,ut,40038.15
78,11,quae,34127.36
74,11,iusto,49224.09
29,16,accusamu,33490.85
22,22,enim,3485.74
21,90,necessit,33780.88
96,13,cupidita,33355.59
17,1,tempora,44001.66
5,37,perspici,19163.75
89,81,natus,21351.52
88,98,providen,8117.43
